MannWhit_P_values,bonferroni_p_Values_corrected,sidak_p_Values_corrected,holm-sidak_p_Values_corrected,holm_p_Values_corrected,simes-hochberg_p_Values_corrected,hommel_p_Values_corrected,fdr_bh_p_Values_corrected,fdr_by_p_Values_corrected,fdr_tsbh_p_Values_corrected,fdr_tsbky_p_Values_corrected
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
0.00014834806223851772,1.0,0.9608075779807448,0.9096987301714015,1.0,0.5,0.5,0.0005754578376052862,0.0060817044226275496,0.0002543621686694429,0.0002701797477314019
0.4105500858657461,1.0,1.0,1.0,1.0,0.5,0.5,0.4353762604548347,1.0,0.19244372490838185,0.20441088908864977
0.3772423703583835,1.0,1.0,1.0,1.0,0.5,0.5,0.4088305908772991,1.0,0.18071008667934477,0.19194759144782564
0.19191609977193042,1.0,1.0,1.0,1.0,0.5,0.5,0.2425694587020815,1.0,0.10721983355930147,0.11388732740559875
0.21223472343499739,1.0,1.0,1.0,1.0,0.5,0.5,0.2624335428521966,1.0,0.1160000971909201,0.1232135940647291
0.25644827777102774,1.0,1.0,1.0,1.0,0.5,0.5,0.3042927936988544,1.0,0.13450259924831198,0.1428666791300729
1.6783049657521822e-09,3.6644110622233145e-05,3.6643438691918995e-05,3.487624678588652e-05,3.48768554932961e-05,3.48768554932961e-05,3.294680478268109e-05,3.474837828440343e-08,3.672369235091467e-07,1.535937523233386e-08,1.631450206330321e-08
0.0005160273975748296,1.0,0.9999872483543556,0.9996071284231689,1.0,0.5,0.5,0.0016947133653867775,0.017910514195530535,0.0007490921814302368,0.0007956746778228756
0.0005816510851223798,1.0,0.9999969594272109,0.9998460813979855,1.0,0.5,0.5,0.0018792659721255836,0.019860951449598666,0.0008306675779510857,0.0008823228620571208
0.322077787543006,1.0,1.0,1.0,1.0,0.5,0.5,0.36305271996976995,1.0,0.16047548779097964,0.17045469864972554
4.6753329069730515e-05,1.0,0.6397064095392515,0.5498397556281239,0.7981330080345382,0.5,0.4014018535417372,0.00021404297017337478,0.0022621050462234456,9.461063960535128e-05,0.00010049402737440647
0.4635806243264565,1.0,1.0,1.0,1.0,0.5,0.5,0.47511465392761937,1.0,0.21000877187210104,0.22306822316616817
1.0725070533897568e-12,2.3417119003711952e-08,2.341642857395243e-08,2.3193353682060547e-08,2.319403753660688e-08,2.319403753660688e-08,2.2817587560867075e-08,1.1117810671850878e-10,1.174981621838808e-09,4.91426173829957e-11,5.219856410586431e-11
0.010327667231287582,1.0,1.0,1.0,1.0,0.5,0.5,0.021726012749584068,0.2296105451879142,0.009603267795467428,0.010200449555642517
1.1794597279783055e-09,2.5752323700678323e-05,2.5751992653977318e-05,2.458317745601679e-05,2.458347911025182e-05,2.4582299650523842e-05,2.3301406385939402e-05,2.585198508609462e-08,2.7321572799508056e-07,1.1427017865068204e-08,1.2137610008029628e-08
0.3169144196245504,1.0,1.0,1.0,1.0,0.5,0.5,0.3586662639998227,1.0,0.15853659951737148,0.16839524009351392
0.06360427193306044,1.0,1.0,1.0,1.0,0.5,0.5,0.0993300671986887,1.0,0.04390558205251189,0.046635862341478325
0.008960145990998772,1.0,1.0,1.0,1.0,0.5,0.5,0.019325943919235068,0.20424550840105585,0.00854239648092597,0.009073607676452624
1.6471142720546527e-05,0.35963093016041286,0.30206820225339737,0.2528890871585687,0.29153922615367356,0.291522755010953,0.18556389388967717,8.695138543530292e-05,0.0009189424329609944,3.8433993809476434e-05,4.082402192933524e-05
0.00053438890264774,1.0,0.9999914618482438,0.9996975125365013,1.0,0.5,0.5,0.0017449251256219664,0.018441175287159845,0.0007712866349444718,0.0008192492993276368
3.838107602859139e-08,0.0008380124140082644,0.0008376613947665978,0.0007724660930272798,0.000772764584759659,0.000772764584759659,0.0006939682356729608,4.914679902736351e-07,5.194060893262535e-06,2.1723722515942346e-07,2.30746179742309e-07
0.0009110286679439958,1.0,0.9999999977231349,0.9999983884631849,1.0,0.5,0.5,0.0027566592376640927,0.029133649038729847,0.001218490350036464,0.0012942624962984457
0.0059282262862037525,1.0,1.0,1.0,1.0,0.5,0.5,0.013623191698567981,0.14397618694058556,0.006021682837907831,0.006396142785599302
0.0035775576362587287,1.0,1.0,1.0,1.0,0.5,0.5,0.008877665970252517,0.09382327751165008,0.00392407961339686,0.00416809954708043
