Gene,Log2_FoldChange,MannWhit_P_values,bonferroni_p_Values_corrected,sidak_p_Values_corrected,holm-sidak_p_Values_corrected,holm_p_Values_corrected,simes-hochberg_p_Values_corrected,hommel_p_Values_corrected,fdr_bh_p_Values_corrected,fdr_by_p_Values_corrected,fdr_tsbh_p_Values_corrected,fdr_tsbky_p_Values_corrected
Pde1b,-0.033413524299,4.28073839827e-07,0.00934656421879,0.00930302283507,0.00827151965467,0.00830591671417,0.00830591671417,0.00699001773054,3.83709430265e-06,4.05521862167e-05,1.69606105683e-06,1.80153106442e-06
Grin2b,0.0376387934033,2.11558106854e-06,0.0461915970505,0.0451410501596,0.0389395425325,0.0397179189807,0.0397179189807,0.0310313431133,1.5074568577e-05,0.000159315008664,6.66321614622e-06,7.07757001319e-06
Grin2c,0.0134240708158,0.0556292616832,1.0,1.0,1.0,1.0,0.5,0.5,0.0888913863444,0.939445259299,0.0392915072644,0.0417348600863
Selp,-0.0375442663197,0.00177433622595,1.0,1.0,0.999999999981,1.0,0.5,0.5,0.00487229276546,0.0514926420732,0.00215363641474,0.00228756086758
Creb1,0.00956680369264,0.0030045040258,1.0,1.0,1.0,1.0,0.5,0.5,0.00766241087092,0.0809798998926,0.0033869161544,0.00359753243562
Col1a2,-0.0183820274504,0.000665308346372,1.0,0.999999511134,0.999951969781,1.0,0.5,0.5,0.00210237899181,0.0222189129715,0.000929287333974,0.000987075313819
Gja5,0.0348899955888,0.000256527446677,1.0,0.996308560547,0.98257693168,1.0,0.5,0.5,0.00092506940589,0.00977656107779,0.00040889643841,0.000434323772107
Hmgcr,-0.03283845576,0.0296459996238,1.0,1.0,1.0,1.0,0.5,0.5,0.0525568980015,0.55544559154,0.0232310443626,0.0246756730305
Egfr,0.00818463520279,0.281849145632,1.0,1.0,1.0,1.0,0.5,0.5,0.327841840785,1.0,0.144911679281,0.153923050571
Top2a,0.00487332772509,0.473148224454,1.0,1.0,1.0,1.0,0.5,0.5,0.482158207942,1.0,0.213122142752,0.226375199842
Adra2c,-0.0117530120825,0.0969602011951,1.0,1.0,1.0,1.0,0.5,0.5,0.140364290547,1.0,0.0620434078993,0.0659015937092
Adra2a,0.0155781362169,0.0545605158864,1.0,1.0,1.0,1.0,0.5,0.5,0.0874779192145,0.92450708532,0.0386667307108,0.0410712316367
Apoh,0.00255599572709,0.0698212419979,1.0,1.0,1.0,1.0,0.5,0.5,0.107432330217,1.0,0.0474869203499,0.0504399071127
Adcy6,0.00365374607994,0.325536895715,1.0,1.0,1.0,1.0,0.5,0.5,0.366082403794,1.0,0.16181465966,0.171877147278
Sec23a,-0.000520836192556,0.476978903043,1.0,1.0,1.0,1.0,0.5,0.5,0.48447967174,1.0,0.214148269303,0.227465136345
Gbp1,0.0123575912006,0.198551852503,1.0,1.0,1.0,1.0,0.5,0.5,0.249026478202,1.0,0.110073946191,0.116918923789
Notch1,-0.0305297247593,1.35900999851e-06,0.0296726243074,0.0292367337373,0.0254377148364,0.0257668295717,0.0257641115517,0.0206066686074,1.03129257694e-05,0.000108991766492,4.55848889808e-06,4.84195974174e-06
Gas1,0.0181860905824,0.00669869857568,1.0,1.0,1.0,1.0,0.5,0.5,0.0150919570677,0.159498778271,0.00667090215535,0.00708573397884
Mc1r,0.000559236187483,0.454034936741,1.0,1.0,1.0,1.0,0.5,0.5,0.468121848008,1.0,0.206917832515,0.219785072923
Rsu1,-0.0334889402683,9.83590279987e-09,0.000214757101732,0.000214734043239,0.000201281327049,0.000201301586702,0.000201291750799,0.000185426439583,1.56503815072e-07,1.65400465869e-06,6.91773527187e-08,7.34791647831e-08
Nme2,-0.0110945315467,0.00896182568825,1.0,1.0,1.0,1.0,0.5,0.5,0.0193259439192,0.204245508401,0.00854239648093,0.00907360767645
Gnrhr,-0.0302243739331,2.11522284415e-05,0.461837755792,0.369878512136,0.309980322179,0.371031239092,0.370988934635,0.227449912431,0.000107373717805,0.00113477508129,4.74610126655e-05,5.0412388352e-05
Cacna1c,0.0276337075307,7.44687560793e-06,0.162595082024,0.150065241747,0.126464035135,0.135205473538,0.135190579786,0.0953349015328,4.41678123326e-05,0.000466785856491,1.95229255667e-05,2.07369638817e-05
Hoxd1,0.0436219936552,5.33871392457e-07,0.0116565479829,0.0115888767073,0.0102609641497,0.0103139680015,0.0103133275595,0.00861721814565,4.62946306034e-06,4.89263055059e-05,2.04630154783e-06,2.17355135344e-06
Vcp,-0.00111863750582,0.39194462554,1.0,1.0,1.0,1.0,0.5,0.5,0.420614706571,1.0,0.185918866589,0.197480280721
Ryk,0.0200802289788,1.71562092948e-06,0.0374588673742,0.0367659936991,0.0318454070292,0.0323634732137,0.0323634732137,0.0255576049864,1.25672347197e-05,0.000132816345491,5.55493186221e-06,5.90036677642e-06
Ly9,-0.0289577926554,0.000295933113528,1.0,0.998438892636,0.990316832709,1.0,0.5,0.5,0.00104738473326,0.0110692459955,0.000462961897073,0.000491751305687
Aqp1,0.0122130570081,0.0107265645823,1.0,1.0,1.0,1.0,0.5,0.5,0.0224598662301,0.237366247981,0.009927643537,0.0105449966889
Uba1,-0.00123812705992,0.364510379815,1.0,1.0,1.0,1.0,0.5,0.5,0.398819213044,1.0,0.176284887107,0.187247209664
Ascl1,0.00697849394132,0.189295530244,1.0,1.0,1.0,1.0,0.5,0.5,0.239917119547,1.0,0.106047454463,0.112642043604
Snai1,-0.0317087653022,4.89762704513e-06,0.106934788903,0.101415966562,0.0860097232055,0.0899351254296,0.0899302278026,0.0661571461256,3.07696600288e-05,0.000325187989895,1.36007139754e-05,1.44464779887e-05
C1qc,-0.0361963427179,0.00166837777784,1.0,1.0,0.999999999924,1.0,0.5,0.5,0.00461573243809,0.0487811939433,0.00204023237886,0.00216710477158
Prkcq,0.0342292986675,3.12399566177e-06,0.0682093212791,0.0659351660733,0.0564003497115,0.0580532113827,0.058050087387,0.0442951344882,2.09681282752e-05,0.000221600871744,9.2682699452e-06,9.84461977503e-06
Htr2b,0.0146266446926,0.00993601724835,1.0,1.0,1.0,1.0,0.5,0.5,0.0210596165724,0.222567762358,0.00930870933132,0.00988757389512
Pdcd1,0.00480891191206,0.251820497084,1.0,1.0,1.0,1.0,0.5,0.5,0.300191271482,1.0,0.132689656548,0.140940998106
Ctnnb1,-0.00297061126984,0.039940416264,1.0,1.0,1.0,1.0,0.5,0.5,0.0673300969374,0.711575586535,0.0297610499928,0.0316117487964
Jup,-0.0153000688242,0.000688148294738,1.0,0.999999703198,0.999964816624,1.0,0.5,0.5,0.00216212629539,0.0228503500929,0.00095569666011,0.00101512691092
Htr1f,-0.0412782308563,1.62789105002e-09,3.55433731861e-05,3.55427414295e-05,3.38416543034e-05,3.38422270388e-05,3.38422270388e-05,3.19766638955e-05,3.39402958834e-08,3.58696735174e-07,1.50021890433e-08,1.59351041561e-08
Ank1,0.0231646808634,0.000135067552591,1.0,0.947621764276,0.889420433289,1.0,0.5,0.5,0.000532563912459,0.00562838159475,0.000235402322943,0.00025004087896
Sos2,0.0119850900353,0.00263019090118,1.0,1.0,1.0,1.0,0.5,0.5,0.00683706247195,0.0722572365101,0.00302209810006,0.00321002807362
Mtf2,-0.0093024580347,0.0905110915391,1.0,1.0,1.0,1.0,0.5,0.5,0.132864903597,1.0,0.0587285510951,0.0623806016536
Muc1,-0.0472210152206,5.00862612082e-09,0.000109358342722,0.000109352362469,0.0001031974152,0.000103202741219,0.000103192723967,9.60904921279e-05,8.84571965037e-08,9.34856540366e-07,3.90995879572e-08,4.1531006226e-08
Zfp39,-0.0153785053156,0.0618233535642,1.0,1.0,1.0,1.0,0.5,0.5,0.0970591854389,1.0,0.0429018136242,0.0455696743067
Zfp41,-0.0288344350998,1.68156434254e-05,0.367152758551,0.307298317837,0.257323116263,0.297491708932,0.297418285266,0.188789228738,8.84893237665e-05,0.000935196076129,3.91137887547e-05,4.15460901039e-05
Myh6,-0.0421414735448,6.11264906209e-06,0.133463579622,0.124941018557,0.105640872941,0.111647535119,0.111647535119,0.080332433974,3.73665318481e-05,0.000394906780563,1.65166437146e-05,1.75437355938e-05
Nhlh1,-0.0532134802907,3.69255369262e-07,0.00806232173247,0.00802990986104,0.00715665581064,0.00718238618752,0.00718238618752,0.00607683561194,3.37536896206e-06,3.56724593933e-05,1.49197058958e-06,1.58474917722e-06
Gsc,-0.00325778070194,0.35371717032,1.0,1.0,1.0,1.0,0.5,0.5,0.390162016233,1.0,0.172458258618,0.183182621265
Glycam1,0.00580258768725,0.159632343387,1.0,1.0,1.0,1.0,0.5,0.5,0.209208890103,1.0,0.0924738938527,0.0982244075192
Sap30bp,0.0122114184038,0.00142648499524,1.0,1.0,0.999999998307,1.0,0.5,0.5,0.00404227393324,0.0427206193933,0.00178675394933,0.00189786371854
Gjb4,0.0411164013683,1.83162905362e-07,0.00399917887568,0.00399119317486,0.00359815736997,0.00360464597753,0.00360464597753,0.0031154178573,1.8543379793e-06,1.95975008989e-05,8.19648980406e-07,8.70619070096e-07
Gjb5,0.0370396764954,1.60028027932e-06,0.0349405196187,0.0343371744527,0.0297940609895,0.0302468975594,0.0302468975594,0.0239641971828,1.18899412079e-05,0.000125658394592,5.25555659053e-06,5.58237477391e-06
Nfia,0.00960891616545,0.0117226365477,1.0,1.0,1.0,1.0,0.5,0.5,0.0242057921678,0.255818000312,0.0106993725479,0.0113647158734
Col6a2,0.0245497831738,0.000107825347627,1.0,0.905048170474,0.830667554711,1.0,0.5,0.5,0.000437950931529,0.00462846787917,0.000193581773389,0.000205619707417
Cacna1s,0.061399021511,7.34235145073e-13,1.60312901575e-08,1.60303149643e-08,1.58915529624e-08,1.58925197151e-08,1.58925197151e-08,1.56568302335e-08,8.43752113554e-11,8.91716234496e-10,3.72952809742e-11,3.96144979338e-11
Nucb1,-0.0145105233224,1.48135524587e-05,0.323439104383,0.276345709574,0.231545097411,0.263371449564,0.263290808169,0.170044768673,7.95118098287e-05,0.000840317559144,3.51455746385e-05,3.73311115382e-05
Tpsab1,-0.0170304133855,0.0151884965119,1.0,1.0,1.0,1.0,0.5,0.5,0.0299619387061,0.316651617602,0.0132436873891,0.0140672496092
Mmp11,0.0296061553889,2.34623469754e-05,0.512276883861,0.400873725097,0.33672953197,0.410567609722,0.410492332356,0.246917739569,0.000117975773195,0.00124682250326,5.2147301782e-05,5.53900956028e-05
Csn1s2a,0.0161523594749,0.00896115379397,1.0,1.0,1.0,1.0,0.5,0.5,0.0193259439192,0.204245508401,0.00854239648093,0.00907360767645
Prkcz,-0.0109822791141,0.0108667278043,1.0,1.0,1.0,1.0,0.5,0.5,0.0227055071448,0.23996229471,0.0100362210064,0.0106603260771
Chat,0.0474141308308,3.34070706883e-07,0.00729409981408,0.0072675636387,0.00648789686064,0.0065090336529,0.0065086995822,0.00552586356255,3.09922554862e-06,3.27540481579e-05,1.369910496e-06,1.45509874428e-06
Epha4,-0.0386465064399,6.47231885196e-07,0.0141316609814,0.0140322822702,0.012387036843,0.0124643916451,0.0124643916451,0.0103207596413,5.47294310564e-06,5.78405925078e-05,2.41913409877e-06,2.56956859565e-06
Mark3,-0.000410814927383,0.42935343573,1.0,1.0,1.0,1.0,0.5,0.5,0.449575038065,1.0,0.198719826526,0.211077271753
Fgfr4,0.0208341952887,1.27674934366e-05,0.278765451694,0.243283977462,0.203929230899,0.228065735257,0.228013392299,0.150784097486,6.99995397948e-05,0.000739787492553,3.09409892168e-05,3.28650628546e-05
Epha2,0.00332430157354,0.425579889522,1.0,1.0,1.0,1.0,0.5,0.5,0.446628757886,1.0,0.197417520489,0.209693981469
Ddr1,0.00983911371297,0.0407783449745,1.0,1.0,1.0,1.0,0.5,0.5,0.0684948014674,0.723884722371,0.0302758692389,0.0321585822141
Cdk7,-0.00700142435311,0.0509370258166,1.0,1.0,1.0,1.0,0.5,0.5,0.0825594997907,0.8725269554,0.0364927055271,0.0387620141192
Aplp1,0.0446329451274,7.67447071457e-07,0.0167564393582,0.0166168374178,0.0146254482757,0.0147334488778,0.0147326814308,0.0121072449993,6.34830812095e-06,6.70918546111e-05,2.8060603497e-06,2.98055595833e-06
Grb7,0.00166605145977,0.427464129514,1.0,1.0,1.0,1.0,0.5,0.5,0.448091492457,1.0,0.198064074091,0.210380741179
Hivep1,-0.0370061059896,9.31287324131e-10,2.03337274351e-05,2.03335195235e-05,1.94441578694e-05,1.94443480405e-05,1.94443480405e-05,1.84655650629e-05,2.12122654152e-08,2.24181025887e-07,9.3761827206e-09,9.95924313505e-09
Enah,-0.0196768406331,0.000632500835015,1.0,0.999998998881,0.999924147358,1.0,0.5,0.5,0.00201573167418,0.0213031840676,0.000890987743312,0.000946394052932
Galt,-0.000106493080568,0.27217445771,1.0,1.0,1.0,1.0,0.5,0.5,0.318977141935,1.0,0.140993331355,0.149761039138
Atp5a1,0.000233119840509,0.446415148163,1.0,1.0,1.0,1.0,0.5,0.5,0.462451795689,1.0,0.204411572785,0.217122960767
Ikzf1,0.0239683664231,0.00318571013707,1.0,1.0,1.0,1.0,0.5,0.5,0.0080414875956,0.0849861579403,0.00355447452529,0.00377551046834
a,-0.0147420558038,0.0793072778577,1.0,1.0,1.0,1.0,0.5,0.5,0.119176585117,1.0,0.0526780811106,0.055953881585
Zfp46,-0.0172001181709,0.000218053561678,1.0,0.99144723465,0.968930280128,1.0,0.5,0.5,0.000803289527441,0.00848953503183,0.000355067657293,0.00037714763393
Bche,-0.0203260674397,0.00123770632721,1.0,0.999999999998,0.999999979686,1.0,0.5,0.5,0.00358140136698,0.0378499050832,0.00158304042286,0.00168148221229
Runx1,-0.0141131167792,0.00332804412339,1.0,1.0,1.0,1.0,0.5,0.5,0.0083411390292,0.0881530127989,0.00368692556429,0.0039161980104
Thbs2,-0.0175536810062,0.000786012148521,1.0,0.999999965022,0.999990991102,1.0,0.5,0.5,0.00242615744992,0.0256407533775,0.00107240292888,0.00113909059003
Msx2,0.00124816193916,0.318631024456,1.0,1.0,1.0,1.0,0.5,0.5,0.360102672479,1.0,0.159171516538,0.169069639598
Ccl7,0.0218388672756,0.00981028515863,1.0,1.0,1.0,1.0,0.5,0.5,0.0208312983731,0.220154790092,0.00920778879725,0.00978037759082
Grin2d,0.021138613876,0.00291778950736,1.0,1.0,1.0,1.0,0.5,0.5,0.00747370223931,0.0789855398466,0.00330350372408,0.00350893298115
Crisp1,-0.00449906916766,0.341282296281,1.0,1.0,1.0,1.0,0.5,0.5,0.3795463996,1.0,0.167765975201,0.178198546957
